,,ALPINISMO,https://moschk.github.io/,,,,,,,,,,,,,
,,Criteri di difficoltà Nostri (CN):,,,,,,,,,,,,,,
,,A-Facile: sotto i 300m e non più di IV grado  ,,,,,,,,,,,,,,
,,B-Medio (come quelle sul passo pordoi) qualche passaggio chiave di V e/o più di 300m,,,,,,,,,,,,,,
,,C-Difficile…,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CN,Grado,NOME CIMA,VIA,Gruppo montuoso,Sviluppo e/o Dislivello,Tiri,Tempo di salita,Avvicinamento,Sportiva (spittata o no),"Soste (Sicure, Da Integrare, Assenti)",Discesa,"Risorsa (link, libro, carta da parati)",NOTE,lat,lng,TAPPO(VUOTO)
A,IV,Pianoro dei Tocci,Via Crepaz/Querin - Cresta Sud Est,Cristallo,150S (120D),6,2h,2h (600D),N,S (con spit),,"https://www.outdooractive.com/it/route/arrampicata/dolomiti-d-ampezzo-dolomiti-bellunesi/pianoro-dei-tocci-2675-m-cresta-sud-est-crepaz-querin-/63884404/#caml=b2e,2138sd,7pc8du,0,0&dmdtab=oax-tab4",,46.5812530,12.2855151,
B,"IV, IV+ sostenuto","Rocchetta Alta di Bosconero ",via Goedeke,Bosconero,400D,10,4h,"2h- dal lago di Pontesei al Rifugio Casera Bn               2h- dal rifugio ",N,SN,"camminata esposta, rari ometti, calata 50m",https://www.scuolaguidodellatorre.it/relazioni/pdf/328/,,,,
B,IV+,Cima del Lago,Gran Diedro Dall’Oglio / Diedro Sud Ovest,Fanis,350 D,9,,1h / 1h 30',N,SI (controllare),Ometti,https://www.planetmountain.com/it/itinerari/gran-diedro-dall-oglio-diedro-sud-ovest-cima-del-lago.html,Esiste anche una via normale camminabile ma non banale.,46.5575563,12.0026699,
B,IV+,Lagazuoi nord,Via Consiglio,Fanis,350 D,9 (+1 trasferimento),,2h (600 D),N,SI (controllare),Ometti e roccette poi sentiero,https://www.planetmountain.com/it/itinerari/via-consiglio-lagazuoi-nord.html,Ultimi tiri molto facili,46.5393244,12.0174719,
B,IV (V+),Piccolo Lagazuoi,Via del Buco,Fanis,300 D,8/9 (variante),3h,25',N,DI,Sentiero,https://www.planetmountain.com/it/itinerari/via-del-buco-piccolo-lagazuoi.html,Diedri finali sulla Via principale spesso bagnati. Variante piu' facile ma meno interessante.,46.5295958,12.0033383,
B,IV (passaggio di V),Piccolo Lagazuoi,Via Cengia Martini,Fanis,185 S (160 D),5,3h,30',N,S (ultima da attrezzare),Cengia e poi sentiero segnato,https://www.sassbaloss.com/pagine/uscite/lagazuoi1/lagazuoi1.htm,"   https://www.gulliver.it/itinerari/piccolo-lagazuoi-classico-meets-moderno/questa via a spit sta appena a dx della Via trad",46.5295958,12.0033383,
B,V (5c),Piccolo Lagazuoi,Ibex,Fanis,400 S,10,ND (5h?),40',N (spit sui punti chiave),S,"Cima Lagazuoi, rientri come vuoi",https://www.scuolaguidodellatorre.it/relazioni/Lagazuoi-viaIbex/569/,,46.5295958,12.0033383,
B,IV (passaggio di V),Piccolo Lagazuoi,Via Ardizzon,Fanis,183 S (180 D),7,,,,,,"In mezzo ad altre 2 vie semplici, vedi guida Roberta",,46.5295958,12.0033383,
B,"III, IV, 1 tratto IV+ (R2)",Torre Jolanda,Spigolo Sud - Via Topo,Moiazza,300 S (con zoccolo),9,3h,1h 10',N,SI (controllare),"Traccia, ghiaie, pass. II",Roccia d'autore Moiazza (127),,46.3305431,12.0823904,
B,"IV, V, 1 tratto V+",Croda Paola,Parete Sud - Via Solda',Moiazza,270 S,8,3h,Da Rif.Carestiato 40',N,DI (controllare),Doppie e camini,https://www.sassbaloss.com/pagine/uscite/paola/paola.htm,,46.3277316,12.0791995,
B,"III+, IV, 1 passo di IV+",Punta della Disperazione,Via Timillero/Secco,Pale di San Martino,+200 Mt. la via (215 lo sviluppo),6,2h. 30',"40' fino al rifugio Treviso, 30' dal rifugio all'attacco",N,S (1 DI?),,https://www.sassbaloss.com/pagine/uscite/puntadisperazione/puntadisperazione.htm,Si congiunge in cima con la via Giuliana a Punta Disperazione,46.2342867,11.9074443,
B,"III+, IV, 1 passo di IV+",Punta della Disperazione,Via Giuliana,Pale di San Martino,+192 Mt. la via (205 lo sviluppo),6,2h. 30',"40' fino al rifugio Treviso, 30' dal rifugio all'attacco",N,S (1 DI?),,Punta della Disperazione - Via Giuliana con uscita dalla via Timillero/Secco,Si congiunge in cima con la via Timillero/Secco a Punta Disperazione,46.2342867,11.9074443,
B,"V,V+",Cima Immink,Spigolo Solleder,Pale di San Martino,545S (460D),12,5h 30m (+10'),"2h rifugio Pradidali             1h all'attacco ",N,,"camminata esposta ",https://www.sassbaloss.com/pagine/uscite/immink/immink.htm,"1300 D+ solo per arrivare all'attacco, contare di dormire in rifugio.",46.2515644,11.8504281,
B,"IV, IV+, V- un passo",Cima Pradidali,Spigolo del Vecchio,Pale di San Martino,270S (330D),10,4h 30m,2h al rif. Pradidali              40' all'attacco,N,alcune chiodate,"bollini rossi, esposta",https://www.sassbaloss.com/pagine/uscite/pradidali1/pradidali1.htm,,46.2484306,11.8497027,
C,"IV, IV+",Punta Grohmann,Via Dimai,Sassolungo,600S (450D),15,5h 30m (+10'),1h (440D),N,"Anelli, clessidre, chiodi",8 calate e ometti,https://www.sassbaloss.com/pagine/uscite/puntagrohmann/puntagrohmann.htm,,46.5106383,11.7329941,
B,IV+ (pass V),Cima Placche dell'Oasi,Via Uomini e Topi,,330 S,8," ",1h 30',N (spit rimossi 2026),N,A piedi da ripido sentierino (verifica). Doppie smontate?,https://www.inmontagna.blog/via-delloasi-o-uomini-e-topi-scivoli-di-piacere-in-mello/,Praticamente si sale senza mani. Placca di aderenza appoggiata,,,
B,"IV, pp.IV+","Monte Cornetto ",Le do More,Sengio Alto,125S,5,< 2h,20/30',N,"Miste: catene, clessidre, mughi ","doppia da 30m e si scende 15 minuti ",https://www.piccoledolomitisport.com/relazione-le-do-more/,,45.9880488,11.0317717,
B,"III/IV, p. IV+","Monte Cornetto ",La rosa di Elisa,Sengio Alto,180S,6,2h,20',N,Clessidre e chiodi,Doppia da 25 nel Vajo del Tricorno,https://www.piccoledolomitisport.com/relazione-la-rosa-elisa/,,45.9880488,11.0317717,
B,"III, IV, 1p V",Punta col de varda,via Comici - del Torso,Cadini di Misurina,200D,6,2-3 h,20' dal rifugio Col de Varda,N,chiodi e clessidre,calate e disarrampicata  1/1h30',,,46.5728163,12.2737080,
C,"V, V+, 1 passo di VI",Monte Baffelan,Via del Piacere,Sengio Alto,350S + 70C (230D),8,4h,10',N,"Golfari, chiodi, mughi","Via normale, I e II",https://www.sassbaloss.com/pagine/uscite/baffelan/baffelan.htm,,45.7373060,11.1790211,
C,"IV+, V+",Monte Agner,Spigolo Nord (via Gilberti- Sravito),Pale di San Martino,1620D + 200C (1600D),35,20h,1h 45',N,Tutto,Ferrata o via normale (6h),https://www.sassbaloss.com/pagine/uscite/agner/agner.htm,,46.2764078,11.9527096,
C,VI-/V+ e A0,Tofana di Rozes,Secondo Spigolo - Via Costantini/Ghedina,Tofane,650S (530D),19,8h 30',50',N,"Chiodi, spuntoni","Ometti, sentiero (1h 30')",https://www.sassbaloss.com/pagine/uscite/tofana1/tofana1.htm,,46.5370080,12.0510530,
C,"IV-, V",Via Pichl,Via Pichl,\,1080D + 200D roccette (830D + 200D),24,8 h + 2h,45',N,da attrezare a volte,"4h10' (calate, ometti, II grado, cengette)",https://www.sassbaloss.com/pagine/uscite/sassolungo2/sassolungo2.htm,,46.7643473,12.0285789,
C,"III, IV, V, tratto di VI-",I° Torre del Tricorno,Cavalcata delle torri del tricorno,Carega,?,21,8h ?,?,N,Tutto?,?,https://howtoreachthesky.com/2021/07/04/cavalcata-delle-torri-del-tricorno/,,,,
C,"IV/IV+ continuo, alcuni passi di V",Sojo Sandri-Menti,Via Antonella,Carega,120S,5,3h 30',1h,N,Anelli cementati,"3 doppie, stesse soste della Via",https://www.nikobeta.net/wp-content/uploads/2018/07/via-Antonella-sojo-Sandri-Menti_r00.pdf,,,,
,,Croda della Pala,Via Langes,Pale di San Martino,,,,,,,,https://www.gulliver.it/itinerari/san-martino-pale-di-croda-della-pala-via-langes/,,46.2791814,11.8308229,
,,Pala di San Bartolomeo,Camino degli Angeli,Pale di San Martino,,,,,,,,https://www.gulliver.it/itinerari/san-bartolomeo-pala-di-camino-degli-angeli/,,,,
,,Campanile Pradidali,Spigolo del Vecchio,Pale di San Martino,,,,,,,,https://www.gulliver.it/itinerari/pradidali-campanile-di-spigolo-del-vecchio/,,46.2448207,11.8462417,
,,Cima Roda,Via Castiglioni-Battisti,Pale di San Martino,,,,,,,,https://www.gulliver.it/itinerari/roda-cima-via-castiglioni-battisti/,,46.1385879,11.0407674,
C,"V, V+",Monte Baffelan,I segreti del Baffelan,Sengio Alto,370S (250D),13,5h,10',N,Molto varie,"Via normale, I e II",https://www.sassbaloss.com/pagine/uscite/baffelan4/baffelan4.htm,,45.7373060,11.1790211,
C,"IV+, V-, 1 passo di V+",Monte Baffelan,Carlesso,Sengio Alto,285S 20C (220D),8,4h,10',N,Chiodi,"Via normale, I e II",https://www.sassbaloss.com/pagine/uscite/baffelan2/baffelan2.htm,,45.7373060,11.1790211,
B,"III e IV, con tratto di IV+",I Tre Apostoli II,Cavalcata della Rinascita,Sengio Alto,150S,5,2h 30',45',N,chiodi e clessidre,Sentiero,https://www.piccoledolomitisport.com/wp-content/uploads/2024/10/CAVALCATA-DELLA-RINASCITA-.Pdf.pdf,,45.7402142,11.1772585,
B,"IV+, 1 passo di V",I Tre Apostoli I,Spigolo Faccio,Sengio Alto,180S + 40C (150D),5,2h 30',20',N,Golfari e mughi,Sentiero,https://www.piccoledolomitisport.com/relazione-spigolo-faccio/,https://www.sassbaloss.com/pagine/uscite/primoapostolo/primoapostolo.htm,45.7394659,11.1774394,
B,"IV+, V-",Cima Roda,Spigolo Castiglioni,Pale di San Martino,290S (250D),7,2h 30',40',N,Fittoni e spuntoni,Sentiero,https://www.sassbaloss.com/pagine/uscite/roda/roda.htm,,46.1385879,11.0407674,
C,"IV, VI-",Monte Baone,Via Metamorfosi,,160S (150D),5,2h 30',15'/60',N (qualche spit),Spit,Bolli e ometti,https://www.arrampicata-arco.com/via-della-metamorfosi.html,dovrebbe essere attrezzata,45.2462381,11.6703792,
C,"IV, 6b",Bastionate di Tessari,Pace senza confini,,300D,10,3h 30',20',S (tratti facili sprotetti o con clessidre),Spit nuovi e vecchi,Bolli e ometti (50'),https://www.planetmountain.com/utils/docs.php?file=773,https://www.scuolaguidodellatorre.it/relazioni/val-d-adige-bastionate-di-tessari-via-pace-senza-confini/946/,,,
B,"IV+, 1 passo di V-",Monte Baffelan,Pilastro Solda' - Uscita via Verona,Sengio Alto,250S + 70C (200D),6,4h,15',N,Chiodi?,"Via normale, I e II",https://www.sassbaloss.com/pagine/uscite/baffelan1/baffelan1.htm,https://www.piccoledolomitisport.com/relazione-pilastro-solda-monte-baffelan/,45.7373060,11.1790211,
,,Monte Pastello,Via delle 40 galee,,,,,,,,,https://www.gulliver.it/itinerari/pastello-monte-via-delle-40-galee/,,45.5844161,10.8664438,
B,"IV, IV+",Crestone dei Sassi,Via dei Sassi,Carega,160S + 90C (130D),8,3h,40',N,"Chiodi, cordoni, mughi",Sentiero ometti oppure altra via,https://www.sassbaloss.com/pagine/uscite/crestonedeisassi/crestonedeisassi.htm,https://www.sassbaloss.com/pagine/uscite/crestonedeisassi/schizzo.pdf,45.7197294,11.1513939,
